"","apprehension_date","arrests","TEXAS","WISCONSIN","ILLINOIS","MINNESOTA","OREGON"
"255",2025-10-01,7,NA,4.85714285714286,NA,NA,NA
"256",2025-10-02,48,NA,NA,47.5714285714286,NA,NA
"257",2025-10-02,13,NA,NA,NA,9.28571428571429,NA
"258",2025-10-02,2,NA,NA,NA,NA,3.85714285714286
"259",2025-10-02,334,277.571428571429,NA,NA,NA,NA
"260",2025-10-02,10,NA,5,NA,NA,NA
"261",2025-10-03,44,NA,NA,49,NA,NA
"262",2025-10-03,10,NA,NA,NA,8.14285714285714,NA
"263",2025-10-03,2,NA,NA,NA,NA,3.14285714285714
"264",2025-10-03,413,279,NA,NA,NA,NA
"265",2025-10-03,5,NA,4.85714285714286,NA,NA,NA
"266",2025-10-04,49,NA,NA,48.2857142857143,NA,NA
"267",2025-10-04,2,NA,NA,NA,9,NA
"268",2025-10-04,1,NA,NA,NA,NA,3.14285714285714
"269",2025-10-04,173,277.428571428571,NA,NA,NA,NA
"270",2025-10-04,3,NA,6.57142857142857,NA,NA,NA
"271",2025-10-05,42,NA,NA,45.7142857142857,NA,NA
"272",2025-10-05,4,NA,NA,NA,9.71428571428571,NA
"273",2025-10-05,144,280,NA,NA,NA,NA
"274",2025-10-05,2,NA,6,NA,NA,NA
"275",2025-10-06,44,NA,NA,47,NA,NA
"276",2025-10-06,7,NA,NA,NA,10,NA
"277",2025-10-06,1,NA,NA,NA,NA,2.85714285714286
"278",2025-10-06,196,278.142857142857,NA,NA,NA,NA
"279",2025-10-06,4,NA,5.14285714285714,NA,NA,NA
"280",2025-10-07,49,NA,NA,50.8571428571429,NA,NA
"281",2025-10-07,15,NA,5.57142857142857,NA,9,NA
"282",2025-10-07,6,NA,NA,NA,NA,2.71428571428571
"283",2025-10-07,329,271.428571428571,NA,NA,NA,NA
"284",2025-10-08,44,NA,NA,52.1428571428571,NA,NA
"285",2025-10-08,17,NA,NA,NA,8.85714285714286,NA
"286",2025-10-08,5,NA,NA,NA,NA,3.14285714285714
"287",2025-10-08,371,265.714285714286,NA,NA,NA,NA
"288",2025-10-08,3,NA,5.42857142857143,NA,NA,NA
"289",2025-10-09,57,NA,NA,56.1428571428571,NA,NA
"290",2025-10-09,15,NA,NA,NA,9,NA
"291",2025-10-09,3,NA,NA,NA,NA,3.14285714285714
"292",2025-10-09,321,264.571428571429,NA,NA,NA,NA
"293",2025-10-09,4,NA,5.28571428571429,NA,NA,NA
"294",2025-10-10,71,NA,NA,61.5714285714286,NA,NA
"295",2025-10-10,3,NA,NA,NA,8.42857142857143,NA
"296",2025-10-10,1,NA,NA,NA,NA,4
"297",2025-10-10,366,255.714285714286,NA,NA,NA,NA
"298",2025-10-10,8,NA,5.71428571428571,NA,NA,NA
"299",2025-10-11,58,NA,NA,65.1428571428571,NA,NA
"300",2025-10-11,5,NA,NA,NA,NA,4.57142857142857
"301",2025-10-11,133,250.857142857143,NA,NA,NA,NA
"302",2025-10-12,70,NA,NA,69.4285714285714,NA,NA
"303",2025-10-12,1,NA,NA,NA,8.14285714285714,8.57142857142857
"304",2025-10-12,136,248.571428571429,NA,NA,NA,NA
"305",2025-10-12,2,NA,4.71428571428571,NA,NA,NA
"306",2025-10-13,82,NA,NA,72.2857142857143,NA,NA
"307",2025-10-13,5,NA,NA,NA,7.14285714285714,NA
"308",2025-10-13,7,NA,NA,NA,NA,9.71428571428571
"309",2025-10-13,134,247.428571428571,NA,NA,NA,NA
"310",2025-10-13,1,NA,5.14285714285714,NA,NA,NA
"311",2025-10-14,74,NA,NA,73.1428571428571,NA,NA
"312",2025-10-14,3,NA,NA,NA,5.14285714285714,NA
"313",2025-10-14,10,NA,NA,NA,NA,12
"314",2025-10-14,295,250.428571428571,NA,NA,NA,NA
"315",2025-10-14,7,NA,5.42857142857143,NA,NA,NA
"316",2025-10-15,74,NA,NA,72.5714285714286,NA,NA
"317",2025-10-15,13,NA,NA,NA,4.85714285714286,NA
"318",2025-10-15,33,NA,NA,NA,NA,11.8571428571429
"319",2025-10-15,355,251.285714285714,NA,NA,NA,NA
"320",2025-10-15,8,NA,4.42857142857143,NA,NA,NA
"321",2025-10-16,77,NA,NA,72.7142857142857,NA,NA
"322",2025-10-16,10,NA,NA,NA,7.28571428571429,NA
"323",2025-10-16,11,NA,NA,NA,NA,12.8571428571429
"324",2025-10-16,313,250.714285714286,NA,NA,NA,NA
"325",2025-10-16,6,NA,4.42857142857143,NA,NA,NA
"326",2025-10-17,77,NA,NA,70.7142857142857,NA,NA
"327",2025-10-17,17,NA,NA,NA,NA,14.7142857142857
"328",2025-10-17,387,266.571428571429,NA,NA,NA,NA
"329",2025-10-17,6,NA,5,NA,NA,NA
"330",2025-10-18,54,NA,NA,71.5714285714286,NA,NA
"331",2025-10-18,1,NA,5,NA,8.14285714285714,NA
"332",2025-10-18,4,NA,NA,NA,NA,15
"333",2025-10-18,139,275.428571428571,NA,NA,NA,NA
"334",2025-10-19,71,NA,NA,72.8571428571429,NA,NA
"335",2025-10-19,1,NA,NA,NA,9,NA
